Product_URL,Category,Gender
https://www.decathlon.in/p/8844091/men-s-hiking-boots-nh50-green,Hiking & Trekking,
https://www.decathlon.in/p/8844095/men-s-hiking-boots-nh50-black,Hiking & Trekking,
https://www.decathlon.in/p/8844602/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-blue,Jogging,
https://www.decathlon.in/p/8851583/men-waterproof-hiking-shoes-low-ankle-with-cushion-comfort-black-mh500,Hiking & Trekking,
https://www.decathlon.in/p/8873070/men-s-running-shoes-kiprun-kipcore-grey,Jogging,
https://www.decathlon.in/p/8874411/men-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-blue,Jogging,
https://www.decathlon.in/p/8883621/men-running-and-trail-running-shoes-kiprun-jf-190-grip-black,Jogging,
https://www.decathlon.in/p/8913737/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-steel-blue,Jogging,
https://www.decathlon.in/p/8913739/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-green,Jogging,
https://www.decathlon.in/p/8913740/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow-frozen-green,Jogging,
https://www.decathlon.in/p/8913741/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow-cotton-white,Jogging,
https://www.decathlon.in/p/8913894/men-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-black,Jogging,
https://www.decathlon.in/p/8913896/men-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-blue,Jogging,
https://www.decathlon.in/p/8913898/men-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-black,Jogging,
https://www.decathlon.in/p/8913899/men-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-grey,Jogging,
https://www.decathlon.in/p/8913901/men-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-grey,Jogging,
https://www.decathlon.in/p/8913903/men-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-blue,Jogging,
https://www.decathlon.in/p/8913912/men-running-and-trail-running-shoes-kiprun-jf-190-grip-blue,Jogging,
https://www.decathlon.in/p/8913917/men-running-and-trail-running-shoes-kiprun-jf-190-grip-flame-orange,Jogging,
