product_url,product_name,brand,selling_price,mrp,product_in_stock
https://www.decathlon.in/p/8733461/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-sage-green,"Men Running Shoes Superior Grip Cushioned Upto 10km/week, Jogflow100 -Sage Green",UNKNOWN,199,9099,True
https://www.decathlon.in/p/8733464/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-black,"Men Running Shoes Superior Grip Cushioned Upto 10km/week, Jogflow100 - Black",UNKNOWN,199,9099,True
https://www.decathlon.in/p/8733468/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-red,"Men Running Shoes Superior Grip Cushioned Upto 10km/week, Jogflow100 - Red",UNKNOWN,199,21999,True
https://www.decathlon.in/p/8733469/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-navy-blue,"Men Running Shoes Superior Grip Cushioned Upto 10km/week, Jogflow100 - Navy Blue",UNKNOWN,199,9099,True
https://www.decathlon.in/p/8733470/men-running-shoes-superior-grip-cushioned-upto-10km-week-jogflow100-grey,"Men Running Shoes Superior Grip Cushioned Upto 10km/week, Jogflow100 - Grey",UNKNOWN,199,9099,True
https://www.decathlon.in/p/8738058/men-s-warm-and-waterproof-hiking-boots-nh500-mid-black,Men’s Warm and Waterproof Hiking Boots NH500 Mid - Black,UNKNOWN,199,14999,True
https://www.decathlon.in/p/8756701/men-mid-ankle-hiking-shoes-black-nh100,Men Mid Ankle Hiking Shoes Black - NH100,UNKNOWN,99,13999,True
https://www.decathlon.in/p/8757257/men-lightweight-low-ankle-hiking-shoes-blue-nh150,Men Lightweight Low Ankle Hiking Shoes Blue - NH150,UNKNOWN,199,13999,True
https://www.decathlon.in/p/8757332/men-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-white,"Men Running Shoes Superior Grip Cushioned Upto 20km/week, Jogflow 190.1 - White",UNKNOWN,199,13999,True
https://www.decathlon.in/p/8757333/men-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-blue,"Men Running Shoes Superior Grip Cushioned Upto 20km/week, Jogflow 190.1 - Blue",UNKNOWN,199,9999,True
https://www.decathlon.in/p/8757334/men-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-grey,"Men Running Shoes Superior Grip Cushioned Upto 20km/week, Jogflow 190.1 - Grey",UNKNOWN,199,9999,True
https://www.decathlon.in/p/8757335/men-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-black,"Men Running Shoes Superior Grip Cushioned Upto 20km/week, Jogflow 190.1 - Black",UNKNOWN,199,13999,True
https://www.decathlon.in/p/8759438/waterproof-boots-crosshunt-110-heritage-brown,WATERPROOF BOOTS CROSSHUNT 110 HERITAGE - BROWN,UNKNOWN,699,28999,True
https://www.decathlon.in/p/8767616/men-low-ankle-leather-hiking-shoes-with-built-in-socks-nh500,Men Low Ankle Leather Hiking Shoes with Built-in Socks - NH500,UNKNOWN,299,18999,True
https://www.decathlon.in/p/8767618/men-s-hiking-shoes-arpenaz-500-revival,Men's Hiking shoes - ARPENAZ 500 REVIVAL,UNKNOWN,299,18999,True
https://www.decathlon.in/p/8767790/run-active-grip-lightweight-cushioned-men-running-shoes-max-10-km-wk-white,RUN ACTIVE GRIP Lightweight Cushioned Men Running Shoes max 10 km/wk - White,UNKNOWN,399,13999,True
https://www.decathlon.in/p/8772865/men-s-kiprun-ks500-2-running-shoes-black-yellow,MEN'S KIPRUN KS500 2 RUNNING SHOES - BLACK/YELLOW,UNKNOWN,259,13999,True
https://www.decathlon.in/p/8786155/men-s-leather-boots-waterproof-vibram-mt500-brown,Men's Leather Boots Waterproof Vibram MT500 Brown,UNKNOWN,199,25999,True
https://www.decathlon.in/p/8801288/men-s-leather-high-trekking-shoes-mt100,MEN's LEATHER HIGH TREKKING SHOES MT100,UNKNOWN,399,18999,True
https://www.decathlon.in/p/8801426/men-running-shoe-with-carbon-plate-kiprun-kd900x-white,"Men Running Shoe with Carbon Plate, Kiprun KD900X - White",UNKNOWN,199,20799,True
https://www.decathlon.in/p/8830177/men-s-kiprun-ks500-2-running-shoes-black-grey,MEN'S KIPRUN KS500 2 RUNNING SHOES - BLACK/GREY,UNKNOWN,259,14999,True
https://www.decathlon.in/p/8830227/men-running-shoe-cushioned-foam-sole-and-anti-slip-kd500-3-white-and-orange,"Men Running Shoe, Cushioned Foam Sole and Anti-Slip KD500 3 - White and Orange",UNKNOWN,199,10399,True
